project_id,product_domain,application_area,problem_clarity_score,technical_complexity_score,technology_maturity_score,data_availability_score,infrastructure_requirement_score,experimental_validation_score,baseline_comparison_flag,real_world_testing_flag,limitations_discussed_flag,rd_cost_estimate,startup_cost_estimate,resource_availability_score,time_to_market_months,target_market_size,competition_level,projected_adoption_rate,unique_selling_proposition_score,projected_roi,regulatory_compliance_flag,legal_risk_flag,risk_level_score,feasibility_score
1001,FinTech,Fraud Detection,9,3,8,9,2,8,1,1,1,150000,75000,8,6,50000000,3,0.85,7,12.5,1,0,2,94
1002,Healthcare,AI Diagnostics,8,8,4,5,7,3,1,0,1,2500000,1200000,5,24,120000000,2,0.45,8,18.2,1,1,7,41
1003,Smart Cities,Traffic Management,7,6,7,6,9,6,1,1,0,850000,400000,6,18,8500000,2,0.60,5,5.5,1,0,4,68
1004,Energy,Biofuels,6,9,3,2,8,2,0,0,1,5000000,8000000,3,48,900000000,1,0.20,9,22.0,0,0,8,28
1005,Education,AI Tutoring,9,4,9,8,3,7,1,1,1,120000,50000,9,8,35000000,3,0.75,4,4.2,1,0,2,88
1006,Cybersecurity,Identity Management,8,5,8,7,4,8,1,1,0,300000,150000,7,10,20000000,2,0.70,6,9.8,1,0,3,82
1007,Agriculture,Drone Monitoring,8,4,7,6,3,7,1,1,1,200000,100000,8,9,45000000,2,0.65,7,8.5,1,0,3,85
1008,Healthcare,Telemedicine,9,2,9,9,2,9,1,1,1,100000,45000,9,4,60000000,3,0.90,3,3.5,1,0,1,96
1009,FinTech,Blockchain Payments,6,8,5,4,6,4,0,0,1,900000,600000,4,20,150000000,3,0.30,8,15.0,0,1,7,35
1010,Smart Cities,Waste Management,7,5,6,5,7,5,1,1,0,400000,350000,6,14,25000000,1,0.50,5,6.0,1,0,4,65
1011,Energy,Solar Storage,8,6,8,7,5,7,1,1,1,3500000,2000000,7,18,500000000,2,0.68,7,10.5,1,0,3,79
1012,Education,VR Classrooms,7,7,5,3,8,4,0,0,1,1200000,900000,4,24,60000000,2,0.35,9,8.0,1,0,6,45
1013,Cybersecurity,Threat Intelligence,9,4,8,9,3,8,1,1,1,250000,120000,9,7,80000000,2,0.78,6,11.2,1,0,2,90
1014,Agriculture,Precision Farming,8,5,7,7,5,6,1,1,0,500000,300000,7,12,110000000,2,0.62,6,7.5,1,0,3,76
1015,Healthcare,Wearables,8,4,8,8,2,8,1,1,1,600000,250000,8,10,220000000,3,0.80,5,6.8,1,0,2,89
1016,FinTech,Robo-Advising,8,5,7,8,3,7,1,1,0,280000,140000,8,9,90000000,3,0.72,4,8.9,1,0,3,81
1017,Smart Cities,Smart Grids,7,8,6,5,9,5,0,0,1,8000000,5000000,5,36,600000000,1,0.40,8,14.5,1,0,6,48
1018,Energy,Wind Turbines,7,7,9,8,9,8,1,1,1,12000000,15000000,6,42,800000000,2,0.55,6,13.0,1,0,5,58
1019,Education,LMS,9,2,10,9,2,9,1,1,1,80000,30000,9,3,40000000,3,0.88,2,2.5,1,0,1,92
1020,Cybersecurity,Network Defense,8,5,9,8,4,8,1,1,1,450000,200000,8,8,150000000,3,0.76,5,7.2,1,0,2,86
1021,Agriculture,Supply Chain,7,4,7,6,4,6,1,0,0,350000,180000,7,11,70000000,2,0.58,5,6.5,1,0,4,72
1022,Healthcare,Electronic Health Records,9,5,9,9,6,8,1,1,1,2000000,1500000,7,18,300000000,3,0.65,4,9.0,1,1,4,68
1023,FinTech,InsurTech,8,4,8,8,3,7,1,1,0,400000,220000,8,10,130000000,2,0.70,6,10.2,1,0,3,84
1024,Smart Cities,Public Safety,6,7,5,4,8,4,0,0,1,1500000,900000,4,22,40000000,2,0.42,7,5.0,0,1,6,38
1025,Energy,Smart Metering,8,4,8,8,5,8,1,1,1,600000,400000,8,12,180000000,2,0.75,5,8.0,1,0,2,83
1026,Education,Credentialing,8,3,8,7,2,7,1,1,1,150000,70000,8,6,25000000,2,0.72,6,6.0,1,0,2,87
1027,Cybersecurity,Encryption,9,6,8,7,3,8,1,1,1,500000,250000,7,14,95000000,2,0.68,7,12.0,1,0,3,80
1028,Agriculture,Automated Harvesting,6,9,4,3,8,3,0,0,1,3000000,1800000,4,30,80000000,1,0.25,9,16.0,0,0,7,32
1029,Healthcare,AI Diagnostics,7,7,5,4,6,4,0,0,1,1800000,950000,5,20,110000000,2,0.40,7,14.0,0,1,6,39
1030,FinTech,Fraud Detection,9,3,9,9,2,9,1,1,1,180000,90000,9,5,65000000,3,0.86,6,11.5,1,0,1,95
1031,Smart Cities,Traffic Management,8,5,7,7,6,7,1,1,0,750000,380000,7,16,15000000,2,0.64,5,6.8,1,0,3,75
1032,Energy,Biofuels,5,8,4,3,7,3,0,0,1,4200000,6000000,3,40,750000000,1,0.28,8,19.5,1,0,7,36
1033,Education,AI Tutoring,8,5,7,6,4,6,1,0,0,250000,120000,7,11,40000000,2,0.66,6,5.5,1,0,3,77
1034,Cybersecurity,Identity Management,9,4,9,9,3,9,1,1,1,350000,180000,9,9,25000000,2,0.80,6,10.5,1,0,2,91
1035,Agriculture,Drone Monitoring,7,5,6,5,4,6,0,1,0,280000,140000,6,13,38000000,2,0.55,6,9.2,1,0,4,69
1036,Healthcare,Telemedicine,8,3,8,8,3,8,1,1,1,150000,75000,8,7,55000000,3,0.82,4,4.8,1,0,2,88
1037,FinTech,Blockchain Payments,7,7,6,5,5,5,1,0,1,800000,500000,5,18,130000000,2,0.45,7,13.0,0,1,6,44
1038,Smart Cities,Waste Management,8,4,7,6,5,7,1,1,0,350000,200000,7,12,20000000,1,0.60,4,5.2,1,0,3,78
1039,Energy,Solar Storage,9,5,9,8,4,8,1,1,1,2800000,1500000,8,15,450000000,2,0.75,6,9.5,1,0,2,86
1040,Education,VR Classrooms,6,8,4,3,7,3,0,0,1,1500000,1100000,4,28,50000000,2,0.30,8,9.5,0,0,7,33
1041,Cybersecurity,Threat Intelligence,8,5,7,7,4,7,1,1,0,320000,160000,7,10,70000000,2,0.65,5,10.0,1,0,3,79
